# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = multireg_model
# start_datetime = 2025-05-11 17:22:10 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmphuzpabp2/v_xickjj.json
# init = 2 (Default)
# random
#   seed = 5918
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan-fit_asym_nNone/nonsems/multireg-20250511122209_2.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=multireg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta.1,theta.2,sigma,beta.1,beta.2,log_p
# Adaptation terminated
# Step size = 0.556299
# Diagonal elements of inverse mass matrix:
# 1.84712e-05, 1.79764e-05, 1.82825e-05, 1.4381e-05
-49348.1,0.999214,0.556299,2,7,0,49348.8,0.00158665,0.157953,0.12078,0.97884,0.147115,0.121946,-47999.1
-49349.3,0.867717,0.556299,2,3,0,49349.8,0.000828261,0.154079,0.1256,0.979185,0.142407,0.126812,-47994
-49351.5,0.839373,0.556299,2,3,0,49352.3,0.00432839,0.151151,0.126853,0.979535,0.139187,0.128077,-47992.6
-49349.9,0.873214,0.556299,2,3,0,49355,0.00229852,0.155149,0.114719,0.980845,0.145057,0.115827,-48000.3
-49349.2,0.999344,0.556299,3,7,0,49350.2,0.000942217,0.154881,0.115978,0.979769,0.144601,0.117098,-47999.1
-49348.5,0.814704,0.556299,2,7,0,49351.2,0.00151639,0.15544,0.120917,0.982954,0.144484,0.122084,-47996.7
-49348.9,0.948144,0.556299,2,7,0,49349.7,-0.00261497,0.157709,0.122675,0.980573,0.146594,0.123859,-47997.1
-49351.7,0.625191,0.556299,3,7,0,49355.2,0.00526588,0.163258,0.119102,0.98218,0.152868,0.120251,-48005.5
-49348.9,0.971435,0.556299,2,3,0,49352.3,0.00200755,0.16042,0.118662,0.980159,0.14998,0.119807,-48002.2
-49348.3,0.849531,0.556299,2,3,0,49351,-0.00110048,0.156615,0.121838,0.978921,0.145575,0.123014,-47997
-49349.7,0.694138,0.556299,2,3,0,49352.3,-0.000192017,0.151727,0.117953,0.981931,0.141044,0.119092,-47995.4
-49349.5,1,0.556299,3,7,0,49349.9,0.00305244,0.16071,0.123918,0.979361,0.149537,0.125114,-48000.4
-49348.6,1,0.556299,2,3,0,49349.6,0.00108783,0.153266,0.11826,0.981057,0.1426,0.119401,-47996.5
-49352,0.707582,0.556299,2,3,0,49352.8,-0.00175067,0.154964,0.127276,0.976585,0.14309,0.128505,-47994.6
-49353,0.8985,0.556299,3,7,0,49355,0.00477319,0.157379,0.1148,0.985275,0.147364,0.115908,-48002.9
-49351.9,1,0.556299,2,3,0,49353.5,0.00537306,0.155553,0.11465,0.983738,0.145487,0.115757,-48001.6
-49348.9,0.989284,0.556299,2,3,0,49353,0.0014676,0.160415,0.121371,0.981869,0.149592,0.122543,-48000.5
-49348.6,0.912257,0.556299,3,7,0,49350.5,0.00254204,0.155103,0.123553,0.978469,0.143761,0.124746,-47996
-49350.3,0.827662,0.556299,2,3,0,49351.2,0.000898158,0.152835,0.126966,0.980192,0.140921,0.128192,-47992.6
-49348.3,1,0.556299,2,3,0,49350.6,-0.000487979,0.156754,0.121774,0.978445,0.145729,0.122949,-47997.4
-49348.5,0.985305,0.556299,3,7,0,49348.8,0.00180684,0.158728,0.121112,0.97816,0.147874,0.12228,-47999.8
-49348.5,0.987537,0.556299,2,3,0,49349,0.00147668,0.155616,0.117866,0.981883,0.145098,0.119004,-47998.4
-49351.8,0.649026,0.556299,2,3,0,49353.1,-0.00370449,0.153636,0.124855,0.983976,0.142052,0.12606,-47993.3
-49352.1,0.933512,0.556299,2,3,0,49355.3,0.000506691,0.149207,0.126076,0.978634,0.137276,0.127293,-47991
-49348.4,1,0.556299,2,3,0,49352.3,0.00317694,0.153766,0.119054,0.979662,0.143007,0.120203,-47997
-49352,0.660426,0.556299,2,3,0,49353.1,0.00277131,0.149612,0.118887,0.976441,0.138713,0.120035,-47995.4
-49351.7,0.981725,0.556299,2,7,0,49353.5,0.000459415,0.148864,0.116861,0.979075,0.138222,0.117989,-47994.9
-49352.1,0.985294,0.556299,3,7,0,49354.4,0.00688532,0.163077,0.122961,0.981403,0.152134,0.124148,-48004.1
-49349.3,1,0.556299,2,3,0,49352.9,1.75284e-05,0.157329,0.11668,0.978298,0.147046,0.117806,-48000.7
-49349.4,0.983674,0.556299,2,7,0,49350.6,0.000388198,0.152407,0.117726,0.981839,0.141782,0.118862,-47996.1
-49349.9,0.955154,0.556299,3,7,0,49351.1,0.00328428,0.157592,0.115665,0.982284,0.147463,0.116782,-48001.7
-49349.5,1,0.556299,3,7,0,49350.8,-1.23609e-05,0.154955,0.126295,0.97988,0.14322,0.127514,-47994.2
-49351.7,0.805148,0.556299,2,3,0,49352.8,-0.0044088,0.154033,0.126299,0.982155,0.14226,0.127518,-47993
-49349,0.993918,0.556299,2,3,0,49352.8,-0.00140572,0.153587,0.12123,0.982397,0.142514,0.1224,-47994.8
-49349.1,0.965753,0.556299,3,7,0,49350.6,0.00044225,0.160195,0.119849,0.978363,0.149578,0.121005,-48001.4
-49351.4,0.68214,0.556299,2,3,0,49352.7,0.00034199,0.156734,0.119502,0.974608,0.146029,0.120655,-48000.1
-49349,1,0.556299,2,3,0,49352.4,0.000260798,0.152874,0.118651,0.978593,0.142136,0.119796,-47996.2
-49350.2,0.868841,0.556299,2,3,0,49351.4,0.00100886,0.161126,0.125464,0.979339,0.149752,0.126675,-47999.8
-49349.7,0.973445,0.556299,3,7,0,49351.6,-0.00112451,0.158696,0.123352,0.977244,0.147524,0.124543,-47998.6
-49349.1,0.975874,0.556299,3,7,0,49351.5,0.00421372,0.153911,0.118451,0.982148,0.143244,0.119594,-47997.6
-49348.6,0.960574,0.556299,2,7,0,49350.3,0.00134567,0.155751,0.123616,0.978191,0.144426,0.124809,-47996.2
-49348.1,0.900862,0.556299,3,7,0,49350,0.000417536,0.158682,0.120196,0.980055,0.147956,0.121356,-47999.5
-49349.7,0.586712,0.556299,2,3,0,49351.8,0.00398132,0.15552,0.120419,0.984177,0.144637,0.121581,-47997.7
-49349.9,0.959968,0.556299,1,1,0,49350.3,0.00436063,0.155107,0.120305,0.984272,0.144225,0.121466,-47997.6
-49350.9,0.862786,0.556299,3,7,0,49353.3,-0.00334111,0.151621,0.124418,0.981531,0.140019,0.125619,-47992.1
-49349,1,0.556299,3,7,0,49351.6,0.00116114,0.157957,0.124735,0.978464,0.14656,0.125939,-47997.5
-49349.7,0.93228,0.556299,2,3,0,49350.4,-0.0015225,0.156465,0.119687,0.983875,0.145723,0.120842,-47997.7
-49352,0.720858,0.556299,3,7,0,49354.5,0.00117206,0.154192,0.112991,0.982772,0.144308,0.114081,-48000.6
-49351,0.959014,0.556299,3,7,0,49354,-8.44372e-05,0.152059,0.116325,0.983452,0.141618,0.117447,-47996.7
-49353.1,0.789963,0.556299,2,7,0,49355.6,-0.0033367,0.152889,0.113194,0.978687,0.142924,0.114286,-47999.4
-49353.9,0.965209,0.556299,2,3,0,49355.5,-0.0049385,0.149852,0.115215,0.979527,0.139481,0.116328,-47996
-49351.6,1,0.556299,2,3,0,49356.4,0.00114067,0.149567,0.11782,0.97728,0.138817,0.118957,-47995.3
-49350.6,0.99956,0.556299,3,7,0,49353.3,0.00370026,0.152069,0.123222,0.983966,0.140654,0.124412,-47994.1
-49348.8,0.989739,0.556299,2,3,0,49351.2,0.0019412,0.15192,0.121537,0.97997,0.140737,0.122711,-47994.2
-49349.3,0.912172,0.556299,2,3,0,49350.2,0.00124664,0.151687,0.11865,0.981623,0.140903,0.119796,-47995.3
-49351.2,0.656324,0.556299,2,3,0,49352.7,0.00426172,0.152987,0.121098,0.985133,0.141908,0.122267,-47995.9
-49348.9,0.990145,0.556299,2,7,0,49351.1,-8.78164e-05,0.158537,0.119771,0.977829,0.147865,0.120927,-48000
-49349.7,0.82227,0.556299,1,1,0,49349.8,0.000159735,0.158838,0.120098,0.976563,0.148132,0.121257,-48000.6
-49348.4,1,0.556299,2,3,0,49350.2,-0.0007391,0.155427,0.119858,0.978542,0.14462,0.121015,-47997.2
-49348.2,0.906906,0.556299,2,3,0,49349.5,0.00379445,0.157194,0.120792,0.981531,0.146325,0.121958,-47998.7
-49349.1,0.81907,0.556299,2,3,0,49350.5,-0.00095577,0.157802,0.117114,0.978957,0.147477,0.118245,-48000.5
-49348,1,0.556299,2,3,0,49349.1,0.00126396,0.154508,0.12035,0.981054,0.143596,0.121512,-47996.2
-49349.2,0.890647,0.556299,3,7,0,49349.5,0.00332861,0.154232,0.116474,0.980866,0.143856,0.117598,-47998.7
-49349.1,0.893488,0.556299,3,7,0,49351.5,-0.000243436,0.15805,0.125382,0.980599,0.146565,0.126593,-47996.7
-49350.3,0.858887,0.556299,3,7,0,49351.1,0.00081203,0.158715,0.124601,0.984066,0.147367,0.125804,-47997.8
