# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = base_model
# start_datetime = 2025-03-23 18:39:06 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 3
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmpudzmvn9w/iiqe13_v.json
# init = 2 (Default)
# random
#   seed = 57965
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan_fit/base/base-20250323133906_3.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=base.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,sigma,log_p
# Adaptation terminated
# Step size = 0.502805
# Diagonal elements of inverse mass matrix:
# 1.94869e-05, 1.54974e-05
-51591.6,0.791357,0.502805,1,3,0,51593.5,-0.000540905,1.00463,-48422.4
-51590.8,0.981163,0.502805,1,3,0,51591.8,-0.00197387,1.00239,-48421.3
-51591.2,0.92522,0.502805,2,5,0,51591.6,0.000559397,1.00313,-48421.2
-51591.5,0.893707,0.502805,3,7,0,51592.7,0.000696845,0.999982,-48419.6
-51592.2,0.885578,0.502805,1,1,0,51592.2,0.00171239,0.999147,-48419.2
-51591.7,1,0.502805,2,3,0,51592.2,0.00156211,1.00002,-48419.5
-51590.8,1,0.502805,2,3,0,51591.6,-0.00180502,1.00224,-48421.2
-51591.2,0.953985,0.502805,2,3,0,51591.2,-0.00275362,0.999984,-48420.4
-51594.2,0.789949,0.502805,2,3,0,51594.7,-0.00957084,1.00041,-48423.2
-51595,0.90882,0.502805,1,1,0,51595.3,-0.0107474,1.00104,-48424.1
-51594,0.897715,0.502805,2,7,0,51597.9,0.00607526,1.0009,-48419.7
-51593.9,1,0.502805,1,1,0,51594.4,0.00581903,1.00074,-48419.6
-51592.5,0.997645,0.502805,3,7,0,51594.3,-0.00712167,1.00044,-48422.1
-51593.1,0.98565,0.502805,3,7,0,51593.6,-0.00833697,1.0027,-48423.7
-51595.2,0.76543,0.502805,2,7,0,51598.1,0.00563944,1.00593,-48422.8
-51590.9,1,0.502805,2,3,0,51594.9,-0.00108771,1.00279,-48421.3
-51591.6,0.926194,0.502805,2,3,0,51591.8,0.000976684,1.00391,-48421.7
-51591.6,0.940907,0.502805,2,3,0,51592.6,-0.000893537,0.999131,-48419.6
-51592,0.986402,0.502805,2,7,0,51592.1,-0.0048451,1.00461,-48423.5
-51592,0.945946,0.502805,2,7,0,51593.2,-0.00644974,1.0013,-48422.2
-51591.3,0.768718,0.502805,1,3,0,51595,-0.000413192,1.00395,-48421.9
-51591.1,0.996403,0.502805,3,7,0,51591.5,-0.00390495,1.00245,-48421.9
-51591.3,0.964118,0.502805,3,7,0,51591.5,-0.00301099,0.999849,-48420.4
-51591.4,0.965636,0.502805,3,7,0,51592,-0.00471696,1.00076,-48421.3
-51592,0.774268,0.502805,2,3,0,51593.8,-0.00270968,1.00531,-48423.4
-51591.6,1,0.502805,2,3,0,51592,-0.0027721,1.00467,-48422.9
-51591.7,0.909193,0.502805,2,3,0,51592.9,-0.000918822,1.00484,-48422.6
-51592,0.979338,0.502805,2,3,0,51592.1,-0.000969131,1.00534,-48423
-51592.2,0.972134,0.502805,1,1,0,51592.4,-0.00137344,1.00556,-48423.3
-51592,0.971132,0.502805,2,3,0,51592.9,-0.00586963,1.0002,-48421.5
-51592.9,0.873978,0.502805,2,3,0,51593.6,-0.00495244,1.00586,-48424.5
-51591.9,1,0.502805,1,1,0,51592.8,-0.00381934,1.0048,-48423.3
-51591.4,0.948763,0.502805,2,3,0,51592.6,-0.00419944,1.00368,-48422.7
-51592.7,0.837335,0.502805,2,3,0,51593.4,-0.00183313,1.00627,-48423.9
-51591,0.976843,0.502805,1,3,0,51592.7,-0.000961707,1.00312,-48421.5
-51591,0.999036,0.502805,2,3,0,51591,-0.000656049,1.00311,-48421.4
-51590.9,0.965554,0.502805,2,7,0,51591.3,-0.0013813,1.00115,-48420.5
-51591.5,0.832445,0.502805,1,3,0,51592.7,-0.00500029,1.00334,-48422.8
-51591.5,0.937473,0.502805,2,3,0,51592.4,-0.00437701,1.0002,-48420.9
-51592.1,0.964406,0.502805,2,3,0,51592.1,-0.00540037,0.999404,-48421
-51592.1,0.988862,0.502805,3,7,0,51592.7,-0.00579514,0.9998,-48421.3
-51591.4,0.969397,0.502805,2,3,0,51592.6,-0.00495905,1.00277,-48422.4
-51591.2,1,0.502805,2,3,0,51591.5,-0.00450058,1.00148,-48421.6
-51591,0.989176,0.502805,2,7,0,51591.4,-0.00222205,1.00063,-48420.5
-51591.1,0.897082,0.502805,1,3,0,51591.9,-0.000584494,1.00349,-48421.7
-51591,0.906506,0.502805,2,7,0,51591.9,-0.00146844,1.00045,-48420.2
-51590.9,1,0.502805,2,3,0,51591.1,-0.000752867,1.00145,-48420.5
-51591.1,0.960476,0.502805,2,3,0,51591.2,-0.00269435,1.00038,-48420.5
-51591,0.981976,0.502805,2,3,0,51591.3,-0.00125839,1.00071,-48420.3
