# stan_version_major = 2
# stan_version_minor = 35
# stan_version_patch = 0
# model = multireg_model
# start_datetime = 2025-03-23 18:45:51 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = false (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = true (Default)
#       gamma = 0.05 (Default)
#       delta = 0.8 (Default)
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = false (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 10 (Default)
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 4
# data
#   file = /var/folders/43/wy_ws5nx3830gqhfw05n4yyc0000gn/T/tmpudzmvn9w/mfhsh0wi.json
# init = 2 (Default)
# random
#   seed = 28389
# output
#   file = /Users/zhafen/repos/citesim/analysis_data/stan_fits/stan_fit/nondens/multireg-20250323134551_4.csv
#   diagnostic_file =  (Default)
#   refresh = 100 (Default)
#   sig_figs = -1 (Default)
#   profile_file = profile.csv (Default)
#   save_cmdstan_config = false (Default)
# num_threads = 1 (Default)
# stanc_version = stanc3 v2.35.0
# stancflags = --filename-in-msg=multireg.stan
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,alpha,theta.1,theta.2,sigma,beta.1,beta.2,log_p
# Adaptation terminated
# Step size = 0.485985
# Diagonal elements of inverse mass matrix:
# 1.79146e-05, 1.86944e-05, 1.84611e-05, 1.46843e-05
-49657.7,1,0.485985,2,7,0,49659.5,0.00401766,0.147313,0.11534,0.980427,0.12834,0.116229,-47694.8
-49652,0.965458,0.485985,2,3,0,49659.6,-0.000160938,0.144085,0.12541,0.986133,0.123987,0.126377,-47700
-49654.9,0.564351,0.485985,2,3,0,49658.6,-0.00166785,0.14487,0.12519,0.976942,0.124773,0.126155,-47694.5
-49653.4,1,0.485985,2,3,0,49655.3,-0.00332011,0.145849,0.124609,0.988268,0.125791,0.12557,-47701.7
-49651.9,1,0.485985,2,3,0,49653.7,-0.00160433,0.145751,0.123746,0.979661,0.125802,0.124699,-47694.9
-49653.7,0.915263,0.485985,2,3,0,49654.1,-0.00203421,0.143242,0.122726,0.978577,0.1235,0.123672,-47696
-49653.3,0.991333,0.485985,2,7,0,49655.1,0.000133526,0.142737,0.120572,0.98055,0.123275,0.121501,-47696.9
-49653.2,0.986383,0.485985,3,7,0,49654.9,-0.00397335,0.150943,0.130002,0.982013,0.130057,0.131004,-47695.2
-49656.3,0.740736,0.485985,3,7,0,49659.3,-0.00538739,0.148778,0.116842,0.987251,0.129573,0.117743,-47700.6
-49657.1,0.975439,0.485985,3,7,0,49657.9,0.0026329,0.145368,0.131851,0.978167,0.12444,0.132867,-47695.1
-49651.1,1,0.485985,2,3,0,49656.6,0.00137218,0.146011,0.124358,0.984005,0.125978,0.125316,-47696.8
-49650.9,0.960533,0.485985,3,7,0,49651.7,-0.00420189,0.148352,0.124574,0.98328,0.128215,0.125535,-47696.4
-49651.7,0.954729,0.485985,3,7,0,49652,-0.00478678,0.144037,0.126423,0.982582,0.123816,0.127397,-47698.6
-49651.7,0.994742,0.485985,2,7,0,49652.2,-0.00451689,0.144909,0.127638,0.983933,0.124511,0.128622,-47699
-49652,0.958922,0.485985,3,7,0,49653,0.00103575,0.150939,0.122106,0.982804,0.131019,0.123047,-47693.8
-49651.9,0.99304,0.485985,3,7,0,49653.4,-0.00371226,0.143208,0.121808,0.983205,0.12358,0.122747,-47699
-49655.2,0.661067,0.485985,2,3,0,49657.4,-0.00200664,0.139189,0.123753,0.979646,0.119456,0.124707,-47699.4
-49652.5,0.992657,0.485985,3,7,0,49656.8,-0.00345802,0.150139,0.129755,0.982966,0.12931,0.130756,-47695.9
-49652.4,0.947118,0.485985,2,3,0,49653.8,-0.00222123,0.149618,0.128983,0.985633,0.1289,0.129977,-47697.6
-49650.9,0.953398,0.485985,2,7,0,49653.8,-0.00161188,0.145629,0.127107,0.983673,0.125273,0.128086,-47697.5
-49651.8,0.949649,0.485985,3,7,0,49652.2,0.00157742,0.150795,0.123506,0.98317,0.130708,0.124458,-47694
-49651,1,0.485985,2,7,0,49651.8,-0.00366128,0.145004,0.125782,0.983717,0.124831,0.126751,-47698.3
-49651.5,0.948945,0.485985,3,7,0,49651.8,7.5021e-05,0.149587,0.123711,0.985463,0.129515,0.124664,-47696.4
-49652.3,0.896207,0.485985,3,7,0,49654,-0.00431935,0.145785,0.119792,0.98239,0.126318,0.120716,-47697.3
